experiment_accession,file_accession,target,control_accession,file_format,paired_end,paired_with,assay_term_name,run_type,treatment_term_name,biological_replicate_number,technical_replicate_number,href,md5sum,biosample_type,biosample_term_name,assembly,dataset_type,lab,date_released,status
ENCSR000AKF,ENCFF000ARY,H3K4me1,ENCSR000AKJ,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000ARY/@@download/ENCFF000ARY.bam,643b2e292c47652540947eb980a2d434,immortalized cell line,GM12878,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AKF,ENCFF000ATE,H3K4me1,ENCSR000AKJ,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000ATE/@@download/ENCFF000ATE.bam,dfa727df060e2ecf2d05703a95b5152f,immortalized cell line,GM12878,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AKL,ENCFF000BSM,H3K4me1,ENCSR000ALG,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BSM/@@download/ENCFF000BSM.bam,8579e9bac9b285718a1a9111258b6c16,primary cell,endothelial cell of umbilical vein,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AKL,ENCFF000BSN,H3K4me1,ENCSR000ALG,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BSN/@@download/ENCFF000BSN.bam,dc62f9f268a9bbb5064c83afac02f511,primary cell,endothelial cell of umbilical vein,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AKL,ENCFF000BSO,H3K4me1,ENCSR000ALG,bam,,,ChIP-seq,Single-ended,,3,1,/files/ENCFF000BSO/@@download/ENCFF000BSO.bam,bb280c6df93903a5a686327124e40c12,primary cell,endothelial cell of umbilical vein,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AKS,ENCFF000BXK,H3K4me1,ENCSR000AKY,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BXK/@@download/ENCFF000BXK.bam,7b9f8ccd15fea0bda867e042db2b6f5a,immortalized cell line,K562,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AKS,ENCFF000BXL,H3K4me1,ENCSR000AKY,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BXL/@@download/ENCFF000BXL.bam,abe5c163690b729543bdaf028e468cd9,immortalized cell line,K562,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALI,ENCFF000CNW,H3K4me1,ENCSR000ALS,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CNW/@@download/ENCFF000CNW.bam,85626b19ad913707d60513f81f4af929,primary cell,keratinocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALI,ENCFF000CNY,H3K4me1,ENCSR000ALS,bam,,,ChIP-seq,Single-ended,,3,1,/files/ENCFF000CNY/@@download/ENCFF000CNY.bam,d9983f98678f87bb80ac37345e3e2f50,primary cell,keratinocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000ALI,ENCFF000CNZ,H3K4me1,ENCSR000ALS,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CNZ/@@download/ENCFF000CNZ.bam,d1444b30fc3df4193ba94d3cab9f43a8,primary cell,keratinocyte,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AMJ,ENCFF000BIO,H3K4me1,ENCSR000AMN,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000BIO/@@download/ENCFF000BIO.bam,a043bfb5b0bf394aa2be259d1d11d379,primary cell,mammary epithelial cell,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AMJ,ENCFF000BIP,H3K4me1,ENCSR000AMN,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000BIP/@@download/ENCFF000BIP.bam,1f7b213b63f6631573523942f9ccb2a5,primary cell,mammary epithelial cell,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AMU,ENCFF000CRZ,H3K4me1,ENCSR000AMZ,bam,,,ChIP-seq,Single-ended,,1,1,/files/ENCFF000CRZ/@@download/ENCFF000CRZ.bam,486e75dcd6626268507fe08d575352ab,primary cell,fibroblast of lung,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
ENCSR000AMU,ENCFF000CSC,H3K4me1,ENCSR000AMZ,bam,,,ChIP-seq,Single-ended,,2,1,/files/ENCFF000CSC/@@download/ENCFF000CSC.bam,e3ff1562d1a0298374536faae4d1a3e3,primary cell,fibroblast of lung,[hg19],experiment,"Bradley Bernstein, Broad",2011-02-10,released
